Question,Topic
"42. if a= a b , then det(a−λi) is (λ−a)(λ−d). check the cayley-hamilton state- c d ment that (a−ai)(a−di)= zero matrix.    ",eigenvalues and eigenvectors
"43. if a = 1 0 and ab = ba, show that b = a b is also diagonal. b has the same 0 2 c d eigen as a, but different eigen . these diagonal matrices b form a two- dimensional subspace of matrix space. ab−ba = 0 gives four equations for the unknowns a, b, c, d—find the rank of the 4 by 4 matrix.",eigenvalues and eigenvectors
44. if a is 5 by 5. then ab−ba= zero matrix gives 25 equations for the 25 entries in b. show that the 25 by 25 matrix is singular by noticing a simple nonzero solution b.,eigenvalues and eigenvectors
45. find the eigenvalues and eigenvectors for both of these markov matrices a and a∞. explain why a100 is close to a∞: .6 .2 1/3 1/3 a= and a∞ = . .4 .8 2/3 2/3,eigenvalues and eigenvectors
"1. prove that every third fibonacci number in 0,1,1.2,3,... is even.",eigenvalues and eigenvectors
"2. bernadelli studied a beetle “which lives three years only. and propagates in as third year.” they survive the first year with probability 1, and the second with probability 2 1, and then produce six females on the way out: 3 [ ] 0 0 6 [ ] beetle matrix a=[1 0 0]. 2 0 1 0 3 show that a3 =i, and follow the distribution of 3000 beetles for six years.  ",eigenvalues and eigenvectors
"3. for the fibonacci matrix a= 1 1 , compute a2, a3, and a4. then use the text and 1 0 a calculator to find f . 20",eigenvalues and eigenvectors
"4. supposeeach“gibonacci”number g istheaverageofthetwopreviousnumbers k+2 g and g . then g = 1(g +g ): k+1 k k+2 2 k+1 k   g = 1g +1g g g k+2 2 k+1 2 k is k+2 = a k+1 . g =g g g k+1 k+1 k+1 k (a) find the eigenvalues and eigenvectors of a. (b) find the limit as n→∞ of the matrices an =sλns−1. (c) if g =0 and g =1, show that the gibonacci numbers approach 2. 0 1 3",eigenvalues and eigenvectors
5. diagonalize the fibonacci matrix by completing s−1:   1 1 λ λ λ 0 1 2 1 = . 1 0 1 1 0 λ 2   do the multiplication sλks−1 1 to find its second component. this is the kth fi- 0 bonacci number f =(λkłλk)/(λ łλ ). k 1 2 1 2,eigenvalues and eigenvectors
6. the numbersλk andλk satisfy the fibonacci rule f =f +f : 1 2 k+2 k+1 k λk+2 =λk+1+λk and λk+2 =λk+1+λk. 1 1 1 2 2 2 prove this by using the original equation for the λ’s (multiply it by λk). then any combination ofλk andλk satisfies the rule. the combination f =(λk−λk)/(λ − 1 2 k 1 2 1 λ ) gives the right start of f =0 and f =1. 2 0 1,eigenvalues and eigenvectors
"7. lucas started with l = 2 and l = 1. the rule l = l +l is the same, so a 0 1 k+2 k+1 k is still fibonacci’s matrix. add its eigenvectors x +x : 1 2  √   √  λ λ 1(1+ 5) 1(1− 5) 1 l 1 + 2 = 2 + 2 = = 1 . 1 1 1 1 2 l 0 multiplying by ak, the second component is l = λk +λk. compute the lucas k 1 2 number l slowly by l =l +l , and compute approximately byλ10. 10 k+2 k+1 k 1",eigenvalues and eigenvectors
"8. suppose there is an epidemic in which every month half of those who are well be- come sick, and a quarter of those who are sick become dead. find the steady state for the corresponding markov process [ ] [ ][ ] d 1 1 0 d k+1 4 k [ ] [ ][ ] [s ]=[0 3 1 ][s ]. k+1 4 2 k w 0 0 1 w k+1 2 k",eigenvalues and eigenvectors
"9. writethe3by3transitionmatrixforachemistrycoursethatistaughtintwosections, if every week 1 of those in section a and 1 of those in section b drop the course, 4 3 and 1 of each section transfer to the other section. 6",eigenvalues and eigenvectors
10. find the limiting values of y and (k →∞) if k k y =.8y +.3z y =0 k+1 k k 0 z =.2y +.7z z =5. k+1 k k 0 also find formulas for y and z from ak =sλks−1. k k,eigenvalues and eigenvectors
"11. (a) from the fact that column 1 + column 2 = 2(column 3), so the columns are linearly dependent find one eigenvalue and one eigenvector of a: [ ] .2 .4 .3 [ ] a=[.4 .2 .3]. .4 .4 .4 (b) find the other eigenvalues of a (it is markov). (c) if u =(0,10,0), find the limit of aku as k →∞. 0 0",eigenvalues and eigenvectors
"12. supposetherearethreemajorcentersformove-it-yourselftrucks. everymonthhalf of those in boston and in los angeles go to chicago, the other half stay here they are, and the trucks in chicago are split equally between boston and los angeles set up the 3 by 3 transition matrix a, and find the steady state u corresponding to the ∞ eigenvalueλ=1.",eigenvalues and eigenvectors
"13. (a) in what range of a and b is the following equation a markov process? a b 1 u =au = u , u = . k+1 k k 0 1−a 1−b 1 (b) compute u =sλks−1u for any a and b. k 0 (c) under what condition on a and b does u approach a finite limit as k → ∞, and k what is the limit? does a have to be a markov matrix?",eigenvalues and eigenvectors
"14. multinationalcompaniesintheamericas,asia,andeuropehaveassetsof$4trillion. at the start, $2 trillion are in the americas and $2 trillion in europe. each year 1 the 2 american money stays home, and 1 goes to each of asia and europe. for asia and 4 europe, 1 stays home and 1 is sent to the americas. 2 2 (a) find the matrix that gives [ ] [ ] americas americas [ ] [ ] [ asia ] =a[ asia ] europe europe yeark+1 yeark . (b) find the eigenvalues and eigenvectors of a. (c) find the limiting distribution of the $4 trillion as the world ends. (d) find the distribution of the $4 trillion at year k.",eigenvalues and eigenvectors
"15. if a is a markov matrix, show that the sum of the components of ax equals the sum of the components of x. deduce that if ax =λx with λ= 1, the components of the eigenvector add to zero.  ",eigenvalues and eigenvectors
"16. thesolutiontodu/dt =au= 0 −1 u(eigenvaluesiand−i)goesaroundinacircle: 1 0 u=(cost,sint). supposeweapproximatedu/dt byforward,backward,andcentered differences f, b, c: (f) u −u =au or u =(i+a)u (this is euler’s method). n+1 n n n+1 n (b) u −u =au or u =(i−a)−1u (backward euler). n+1 n n+1 n+1 n (c) u −u = 1a(u +u ) or u =(i−1a)−1(i+1a)u . n+1 n 2 n+1 n n+1 2 2 n findtheeigenvaluesofi+a,(iła)−1,and(i−1a)−1(i+1a). forwhichdifference 2 2 equation does the solution u stay on a circle? n",eigenvalues and eigenvectors
"17. what values ofαproduce instability in v =α(v +w ), w =α(v +w )? n+1 n n n+1 n n",eigenvalues and eigenvectors
"18. find the largest a, b, c for which these matrices are stable or neutrally stable: a −.8 b .8 c .8 , , . .8 .2 0 .2 .2 c",eigenvalues and eigenvectors
"19. multiplying term by term, check that (iła)(i+a+a2+···) = i. this series rep- resents (iła)−1. it is nonnegative when a is nonnegative, provided it has a finite sum; the condition for that is λ < 1. add up the infinite series, and confirm that max it equals (iła)−1, for the consumption matrix [ ] 0 1 1 [ ] a=[0 0 1] which hasλ =0. max 0 0 0",eigenvalues and eigenvectors
"20. for a= 0 .2 , find the powers ak (including a0) and show explicitly that their sum 0 .5 agrees with (i−a)−1.",eigenvalues and eigenvectors
21. explain by mathematics or economics why increasing the “consumption matrix” a must increaset =λ (and slow down the expansion). max 1,eigenvalues and eigenvectors
"22. what are the limits as k →∞ (the steady states) of the following?       k 1 k 0 k .4 .2.6 .8 , .4 .2.6 .8 , .4 .2.6 .8 . 0 1 problems 23–29 are about a=sλs−1 and ak =sλks−1",eigenvalues and eigenvectors
23. diagonalize a and compute sλks−1 to prove this formula for ak: 3 2 1 5k+1 5k−1 a= has ak = . 2 3 2 5k−1 5k+1,eigenvalues and eigenvectors
24. diagonalize b and compute sλks−1 to prove this formula for bk: 3 1 3k 3k−2k b= has bk = . 0 2 0 2k,eigenvalues and eigenvectors
"25. the eigenvalues of a are 1 and 9, the eigenvalues of b are ł1 and 9: 5 4 4 5 a= and b= . 4 5 5 4 √ findamatrixsquarerootofafromr=s λs−1,whyistherenorealmatrixsquare root of b?",eigenvalues and eigenvectors
"26. ifaandbhavethesameλ’swiththesamefullsetofindependenteigenvectors,their factorizations into are the same. so a=b.",eigenvalues and eigenvectors
"27. suppose a and b have the same full set of eigenvectors, so that a = sλ s−1 and 1 b=sλ s−1. prove that ab=ba. 2",eigenvalues and eigenvectors
28. (a) when do the eigenvectors forλ=0 span the nullspace n(a)? (b) when do all the eigenvectors forλ=0 span the column space c(a)?,eigenvalues and eigenvectors
"29. the powers ak approach zero if all |λ| < 1, and they blow up if any |λ| > 1. peter i i lax gives four striking examples in his book linear algebra. 3 2 3 2 5 7 5 6.9 a= b= c = d= 1 4 −5 −3 −3 −4 −3 −4 (cid:107)a1024(cid:107)>10700 b1024 =i c1024 =−c (cid:107)d1024(cid:107)<10−78 find the eigenvaluesλ=eiθ of b andc to show that b4 =i andc3 =−i.",eigenvalues and eigenvectors
"1. following the first example in this section, find the eigenvalues and eigenvectors, and the exponential eat, for −1 1 a= . 1 −1",eigenvalues and eigenvectors
"2. for the previous matrix, write the general solution to du/dt = au, and the specific solution that matches u(0) = (3,1). what is the steady state as t → ∞? (this is a continuous markov process;λ=0 in a differential equation corresponds toλ=1 in a difference equation, since e0t =1.)",eigenvalues and eigenvectors
"3. suppose the time direction is reversed to give the matrix −a: du 1 −1 3 = u with u = . 0 dt −1 1 1 find u(t) and show that it blows up instead of decaying as t → ∞. (diffusion is irreversible, and the heat equation cannot run backward.)",eigenvalues and eigenvectors
"4. if p is a projection matrix, show from the infinite series that ep ≈i+1.718p.  ",eigenvalues and eigenvectors
"5. a diagonal matrix like λ = 1 0 satisfies the usual rule eλ(t+t) = eλteλt, because 0 2 the rule holds for each diagonal entry. (a) explain why ea(t+t) =eateat, using the formula eat =seλts−1. (b) show that ea+b =eaeb is not true for matrices, from the example 0 0 0 −1 a= b= (use series for ea and eb). 1 0 0 0",eigenvalues and eigenvectors
"6. the higher order equation y+y=0 can be written as a first-order system by intro- ducing the velocity y as another unknown: d y y y = = . dt y y −y if this is du/dt = au, what is the 2 by 2 matrix a? find its eigenvalues and eigen- vectors, and compute the solution that starts from y(0)=2, y(0)=0.",eigenvalues and eigenvectors
"7. convert y =0 to a first-order system du/dt =au:  d y y 0 1 y = = . dt y 0 0 0 y this 2 by 2 matrix a has only one eigenvector and cannot be diagonalized. compute eat from the series i+at+··· and write the solution eatu(0) starting from y(0)=3, y(0)=4. check that your (y,y) satisfies y =0.",eigenvalues and eigenvectors
"8. suppose the rabbit population r and the wolf population w are governed by dr =4r−2w dt dw =r+w. dt (a) is this system stable, neutrally stable, or unstable? (b) if initially r =300 and w=200, what are the populations at timet? (c) after a long time, what is the proportion of rabbits to wolves?",eigenvalues and eigenvectors
9. decide the stability of u =au for the following matrices: 2 3 1 2 (a) a= . (b) a= . 4 5 3 −1 1 1 −1 −1 (c) a= . (d) a= . 1 −2 −1 −1,eigenvalues and eigenvectors
"10. decide on the stability or instability of dv/dt = w, dw/dt = v. is there a solution that decays?",eigenvalues and eigenvectors
"11. from their trace and determinant, at what time t do the following matrices change betweenstablewithrealeigenvalues,stablewithcomplexeigenvalues,andunstable? 1 −1 0 4−t t −1 a = , a = , a = . 1 2 3 t −1 1 −2 1 t",eigenvalues and eigenvectors
"12. find the eigenvalues and eigenvectors for [ ] 0 3 0 du [ ] =au=[−3 0 4]u. dt 0 −4 0 why do you know, without computing, that eat will be an orthogonal matrix and (cid:107)u(t)(cid:107)2 =u2+u2+u2 will be constant? 1 2 3",eigenvalues and eigenvectors
"13. for the skew-symmetric equation [ ][ ] 0 c −b u 1 du [ ][ ] =au=[−c 0 a ][u ], 2 dt b −a 0 u 3 (a) write out u, u, u and confirm that uu +uu +uu =0. 1 2 3 1 1 2 2 3 3 (b) deduce that the length u2+u2+u2 is a constant. 1 2 3 (c) find the eigenvalues of a. the solution will rotate around the axis w=(a,b,c), because au is the “cross prod- uct” u×w—which is perpendicular to u and w.",eigenvalues and eigenvectors
"14. what are the eigenvalues λ and frequencies ω, and the general solution, of the fol- lowing equation? d2u −5 4 = u. dt2 4 −5",eigenvalues and eigenvectors
15. solve the second-order equation d2u −5 −1 1 0 = u with u(0)= and u(0)= . dt2 −1 −5 0 0,eigenvalues and eigenvectors
"16. inmostapplicationsthesecond-orderequationlookslikemu+ku=0,withamass matrix multiplying the second derivatives. substitute the pure exponential u=eiωtx and find the “generalized eigenvalue problem” that must be solved for the frequency ωand the vector x.",eigenvalues and eigenvectors
"17. with a friction matrix f in the equation u+fu−au = 0, substitute a pure expo- nential u=eλtx and find a quadratic eigenvalue problem forλ. √",eigenvalues and eigenvectors
"18. for equation (16) in the text, withω=1 and 3, find the motion if the first mass is hit att =0; u(0)=(0,0) and u(0)=(1,0).",eigenvalues and eigenvectors
19. every 2 by 2 matrix with trace zero can be written as a b+c a= . b−c −a show that its eigenvalues are real exactly when a2+b2 ≥c2.,eigenvalues and eigenvectors
5.4 differentialequationsandeat 309,eigenvalues and eigenvectors
"20. by back-substitution or by computing eigenvectors, solve [ ] [ ] 1 2 1 1 du [ ] [ ] =[0 3 6]u with u(0)=[0]. dt 0 0 4 1",eigenvalues and eigenvectors
"21. findλ’s and x’s so that u=eλtx solves du 4 3 = u. dt 0 1 what combination u=c eλ 1tx +c eλ 2tx starts from u(0)=(5,−2)? 1 1 2 2",eigenvalues and eigenvectors
"22. solve problem 21 for u(t)=(y(t),z(t)) by back-substitution: dz first solve =z, starting from z(0)=−2. dt dy then solve =4y+3z, starting from y(0)=5. dt the solution for y will be a combination of e4t and et.",eigenvalues and eigenvectors
"23. find a to change y =5y+4y into a vector equation for u(t)=(y(t),y(t)):  du y y = = =au. dt y y what are the eigenvalues of a? find them also by substituting y=eλt into the scalar equation y =5y+4y.",eigenvalues and eigenvectors
"24. a door is opened between rooms that hold v(0)=30 people and w(0)=10 people. the movement between rooms is proportional to the difference v−w: dv dw =w−v and =v−w. dt dt showthatthetotalv+wisconstant(40people). findthematrixindu/dt =au, and its eigenvalues and eigenvectors. what are v and w att =1?",eigenvalues and eigenvectors
25. reverse the diffusion of people in problem 24 to du/dt =−au: dv dw =v−w and =w−v. dt dt thetotalv+wstillremainsconstant. howaretheλ’schangednowthataischanged to −a? but show that v(t) grows to infinity from v(0)=30.,eigenvalues and eigenvectors
"26. the solution to y =0 is a straight line y=c+dt. convert to a matrix equation:  d y 0 1 y y y(0) = has the solution =eat . dt y 0 0 y y y(0) this matrix a cannot be diagonalized. find a2 and compute eat =i+at+ 1a2t2+ 2 ···. multiply your eat times (y(0),y(0)) to check the straight line y(t) = y(0)+ y(0)t.",eigenvalues and eigenvectors
"27. substitute y = eλt into y = 6y−9y to show that λ = 3 is a repeated root. this is trouble; we need a second solution after e3t. the matrix equation is  d y 0 1 y = . dt y −9 6 y show that this matrix has λ = 3,3 and only one line of eigenvectors. trouble here too. show that the second solution is y=te3t.",eigenvalues and eigenvectors
